20:10:55.831 [main] TRACE org.cpswt.config.FederateConfigParser - Trying to load config file conf/MetronomeConfig.json.
20:10:56.103 [main] DEBUG org.cpswt.hla.SynchronizedFederate - Federate Metronome-6401e8a2-091d-4bfd-a6c2-5a9b01dc1c84 acquiring connection to RTI ...
20:10:56.376 [main] DEBUG org.cpswt.hla.SynchronizedFederate - Federate Metronome-6401e8a2-091d-4bfd-a6c2-5a9b01dc1c84 connection to RTI successful.
20:10:56.376 [main] DEBUG org.cpswt.hla.SynchronizedFederate - [Metronome-6401e8a2-091d-4bfd-a6c2-5a9b01dc1c84] federate joining federation [WorkshopExercise] attempt #1

-------------------------------------------------------------------
GMS: address=vagrant-2949, cluster=WorkshopExercise, physical address=10.0.2.15:43816
-------------------------------------------------------------------
20:10:59.037 [main] DEBUG org.cpswt.hla.SynchronizedFederate - [Metronome-6401e8a2-091d-4bfd-a6c2-5a9b01dc1c84] federate joined federation [WorkshopExercise] successfully
20:10:59.062 [main] TRACE org.cpswt.hla.FederateJoinInteraction - FederateJoinInteraction initialized
20:10:59.063 [main] TRACE org.cpswt.hla.FederateResignInteraction - FederateResignInteraction initialized
20:10:59.064 [main] TRACE org.cpswt.hla.SynchronizedFederate - Sending FederateJoinInteraction for federate Metronome-6401e8a2-091d-4bfd-a6c2-5a9b01dc1c84
20:11:00.200 [main] TRACE org.cpswt.hla.SynchronizedFederate - achieveSynchronizationPoint==>
20:13:47.955 [main] TRACE org.cpswt.hla.SynchronizedFederate - <==achieveSynchronizationPoint
20:13:47.955 [main] TRACE org.cpswt.hla.SynchronizedFederate - achieveSynchronizationPoint==>
20:13:48.211 [main] TRACE org.cpswt.hla.SynchronizedFederate - <==achieveSynchronizationPoint
20:14:26.304 [main] INFO  MetronomeFederate.Metronome - curentTime: 40.0, startTime: 1.5000912E9, ignoreTil: 1.0, logicalTimeSec: 300.0, stopTime: 0.0
20:14:27.312 [main] INFO  MetronomeFederate.Metronome - curentTime: 41.0, startTime: 1.5000912E9, ignoreTil: 1.0, logicalTimeSec: 300.0, stopTime: 0.0
20:14:28.318 [main] INFO  MetronomeFederate.Metronome - curentTime: 42.0, startTime: 1.5000912E9, ignoreTil: 1.0, logicalTimeSec: 300.0, stopTime: 0.0
20:14:29.295 [main] INFO  MetronomeFederate.Metronome - curentTime: 43.0, startTime: 1.5000912E9, ignoreTil: 1.0, logicalTimeSec: 300.0, stopTime: 0.0
20:14:30.278 [main] INFO  MetronomeFederate.Metronome - curentTime: 44.0, startTime: 1.5000912E9, ignoreTil: 1.0, logicalTimeSec: 300.0, stopTime: 0.0
20:14:31.297 [main] INFO  MetronomeFederate.Metronome - curentTime: 45.0, startTime: 1.5000912E9, ignoreTil: 1.0, logicalTimeSec: 300.0, stopTime: 0.0
20:14:32.297 [main] INFO  MetronomeFederate.Metronome - curentTime: 46.0, startTime: 1.5000912E9, ignoreTil: 1.0, logicalTimeSec: 300.0, stopTime: 0.0
20:14:33.300 [main] INFO  MetronomeFederate.Metronome - curentTime: 47.0, startTime: 1.5000912E9, ignoreTil: 1.0, logicalTimeSec: 300.0, stopTime: 0.0
20:14:34.300 [main] INFO  MetronomeFederate.Metronome - curentTime: 48.0, startTime: 1.5000912E9, ignoreTil: 1.0, logicalTimeSec: 300.0, stopTime: 0.0
20:14:35.314 [main] INFO  MetronomeFederate.Metronome - curentTime: 49.0, startTime: 1.5000912E9, ignoreTil: 1.0, logicalTimeSec: 300.0, stopTime: 0.0
20:14:36.367 [main] INFO  MetronomeFederate.Metronome - curentTime: 50.0, startTime: 1.5000912E9, ignoreTil: 1.0, logicalTimeSec: 300.0, stopTime: 0.0
20:14:37.291 [main] INFO  MetronomeFederate.Metronome - curentTime: 51.0, startTime: 1.5000912E9, ignoreTil: 1.0, logicalTimeSec: 300.0, stopTime: 0.0
20:14:38.303 [main] INFO  MetronomeFederate.Metronome - curentTime: 52.0, startTime: 1.5000912E9, ignoreTil: 1.0, logicalTimeSec: 300.0, stopTime: 0.0
20:14:39.328 [main] INFO  MetronomeFederate.Metronome - curentTime: 53.0, startTime: 1.5000912E9, ignoreTil: 1.0, logicalTimeSec: 300.0, stopTime: 0.0
20:14:40.333 [main] INFO  MetronomeFederate.Metronome - curentTime: 54.0, startTime: 1.5000912E9, ignoreTil: 1.0, logicalTimeSec: 300.0, stopTime: 0.0
20:14:41.328 [main] INFO  MetronomeFederate.Metronome - curentTime: 55.0, startTime: 1.5000912E9, ignoreTil: 1.0, logicalTimeSec: 300.0, stopTime: 0.0
20:14:42.341 [main] INFO  MetronomeFederate.Metronome - curentTime: 56.0, startTime: 1.5000912E9, ignoreTil: 1.0, logicalTimeSec: 300.0, stopTime: 0.0
20:14:43.306 [main] INFO  MetronomeFederate.Metronome - curentTime: 57.0, startTime: 1.5000912E9, ignoreTil: 1.0, logicalTimeSec: 300.0, stopTime: 0.0
20:14:44.306 [main] INFO  MetronomeFederate.Metronome - curentTime: 58.0, startTime: 1.5000912E9, ignoreTil: 1.0, logicalTimeSec: 300.0, stopTime: 0.0
20:14:45.412 [main] INFO  MetronomeFederate.Metronome - curentTime: 59.0, startTime: 1.5000912E9, ignoreTil: 1.0, logicalTimeSec: 300.0, stopTime: 0.0
20:14:46.392 [main] INFO  MetronomeFederate.Metronome - curentTime: 60.0, startTime: 1.5000912E9, ignoreTil: 1.0, logicalTimeSec: 300.0, stopTime: 0.0
20:14:47.362 [main] INFO  MetronomeFederate.Metronome - curentTime: 61.0, startTime: 1.5000912E9, ignoreTil: 1.0, logicalTimeSec: 300.0, stopTime: 0.0
20:14:48.315 [main] INFO  MetronomeFederate.Metronome - curentTime: 62.0, startTime: 1.5000912E9, ignoreTil: 1.0, logicalTimeSec: 300.0, stopTime: 0.0
20:14:49.312 [main] INFO  MetronomeFederate.Metronome - curentTime: 63.0, startTime: 1.5000912E9, ignoreTil: 1.0, logicalTimeSec: 300.0, stopTime: 0.0
20:14:50.318 [main] INFO  MetronomeFederate.Metronome - curentTime: 64.0, startTime: 1.5000912E9, ignoreTil: 1.0, logicalTimeSec: 300.0, stopTime: 0.0
20:14:51.321 [main] INFO  MetronomeFederate.Metronome - curentTime: 65.0, startTime: 1.5000912E9, ignoreTil: 1.0, logicalTimeSec: 300.0, stopTime: 0.0
20:14:52.311 [main] INFO  MetronomeFederate.Metronome - curentTime: 66.0, startTime: 1.5000912E9, ignoreTil: 1.0, logicalTimeSec: 300.0, stopTime: 0.0
20:14:53.323 [main] INFO  MetronomeFederate.Metronome - curentTime: 67.0, startTime: 1.5000912E9, ignoreTil: 1.0, logicalTimeSec: 300.0, stopTime: 0.0
20:14:54.329 [main] INFO  MetronomeFederate.Metronome - curentTime: 68.0, startTime: 1.5000912E9, ignoreTil: 1.0, logicalTimeSec: 300.0, stopTime: 0.0
20:14:55.386 [main] INFO  MetronomeFederate.Metronome - curentTime: 69.0, startTime: 1.5000912E9, ignoreTil: 1.0, logicalTimeSec: 300.0, stopTime: 0.0
20:14:56.382 [main] INFO  MetronomeFederate.Metronome - curentTime: 70.0, startTime: 1.5000912E9, ignoreTil: 1.0, logicalTimeSec: 300.0, stopTime: 0.0
20:14:57.361 [main] INFO  MetronomeFederate.Metronome - curentTime: 71.0, startTime: 1.5000912E9, ignoreTil: 1.0, logicalTimeSec: 300.0, stopTime: 0.0
20:14:58.339 [main] INFO  MetronomeFederate.Metronome - curentTime: 72.0, startTime: 1.5000912E9, ignoreTil: 1.0, logicalTimeSec: 300.0, stopTime: 0.0
20:14:59.341 [main] INFO  MetronomeFederate.Metronome - curentTime: 73.0, startTime: 1.5000912E9, ignoreTil: 1.0, logicalTimeSec: 300.0, stopTime: 0.0
20:15:00.330 [main] INFO  MetronomeFederate.Metronome - curentTime: 74.0, startTime: 1.5000912E9, ignoreTil: 1.0, logicalTimeSec: 300.0, stopTime: 0.0
20:15:01.368 [main] INFO  MetronomeFederate.Metronome - curentTime: 75.0, startTime: 1.5000912E9, ignoreTil: 1.0, logicalTimeSec: 300.0, stopTime: 0.0
20:15:02.326 [main] INFO  MetronomeFederate.Metronome - curentTime: 76.0, startTime: 1.5000912E9, ignoreTil: 1.0, logicalTimeSec: 300.0, stopTime: 0.0
20:15:03.325 [main] INFO  MetronomeFederate.Metronome - curentTime: 77.0, startTime: 1.5000912E9, ignoreTil: 1.0, logicalTimeSec: 300.0, stopTime: 0.0
20:15:04.328 [main] INFO  MetronomeFederate.Metronome - curentTime: 78.0, startTime: 1.5000912E9, ignoreTil: 1.0, logicalTimeSec: 300.0, stopTime: 0.0
20:15:05.330 [main] INFO  MetronomeFederate.Metronome - curentTime: 79.0, startTime: 1.5000912E9, ignoreTil: 1.0, logicalTimeSec: 300.0, stopTime: 0.0
20:15:06.334 [main] INFO  MetronomeFederate.Metronome - curentTime: 80.0, startTime: 1.5000912E9, ignoreTil: 1.0, logicalTimeSec: 300.0, stopTime: 0.0
20:15:07.369 [main] INFO  MetronomeFederate.Metronome - curentTime: 81.0, startTime: 1.5000912E9, ignoreTil: 1.0, logicalTimeSec: 300.0, stopTime: 0.0
20:15:08.348 [main] INFO  MetronomeFederate.Metronome - curentTime: 82.0, startTime: 1.5000912E9, ignoreTil: 1.0, logicalTimeSec: 300.0, stopTime: 0.0
20:15:09.350 [main] INFO  MetronomeFederate.Metronome - curentTime: 83.0, startTime: 1.5000912E9, ignoreTil: 1.0, logicalTimeSec: 300.0, stopTime: 0.0
20:15:10.368 [main] INFO  MetronomeFederate.Metronome - curentTime: 84.0, startTime: 1.5000912E9, ignoreTil: 1.0, logicalTimeSec: 300.0, stopTime: 0.0
20:15:11.347 [main] INFO  MetronomeFederate.Metronome - curentTime: 85.0, startTime: 1.5000912E9, ignoreTil: 1.0, logicalTimeSec: 300.0, stopTime: 0.0
20:15:12.390 [main] INFO  MetronomeFederate.Metronome - curentTime: 86.0, startTime: 1.5000912E9, ignoreTil: 1.0, logicalTimeSec: 300.0, stopTime: 0.0
20:15:13.353 [main] INFO  MetronomeFederate.Metronome - curentTime: 87.0, startTime: 1.5000912E9, ignoreTil: 1.0, logicalTimeSec: 300.0, stopTime: 0.0
20:15:14.364 [main] INFO  MetronomeFederate.Metronome - curentTime: 88.0, startTime: 1.5000912E9, ignoreTil: 1.0, logicalTimeSec: 300.0, stopTime: 0.0
20:15:15.347 [main] INFO  MetronomeFederate.Metronome - curentTime: 89.0, startTime: 1.5000912E9, ignoreTil: 1.0, logicalTimeSec: 300.0, stopTime: 0.0
20:15:16.356 [main] INFO  MetronomeFederate.Metronome - curentTime: 90.0, startTime: 1.5000912E9, ignoreTil: 1.0, logicalTimeSec: 300.0, stopTime: 0.0
20:15:17.381 [main] INFO  MetronomeFederate.Metronome - curentTime: 91.0, startTime: 1.5000912E9, ignoreTil: 1.0, logicalTimeSec: 300.0, stopTime: 0.0
20:15:18.363 [main] INFO  MetronomeFederate.Metronome - curentTime: 92.0, startTime: 1.5000912E9, ignoreTil: 1.0, logicalTimeSec: 300.0, stopTime: 0.0
20:15:19.381 [main] INFO  MetronomeFederate.Metronome - curentTime: 93.0, startTime: 1.5000912E9, ignoreTil: 1.0, logicalTimeSec: 300.0, stopTime: 0.0
20:15:20.408 [main] INFO  MetronomeFederate.Metronome - curentTime: 94.0, startTime: 1.5000912E9, ignoreTil: 1.0, logicalTimeSec: 300.0, stopTime: 0.0
20:15:21.365 [main] INFO  MetronomeFederate.Metronome - curentTime: 95.0, startTime: 1.5000912E9, ignoreTil: 1.0, logicalTimeSec: 300.0, stopTime: 0.0
20:15:22.366 [main] INFO  MetronomeFederate.Metronome - curentTime: 96.0, startTime: 1.5000912E9, ignoreTil: 1.0, logicalTimeSec: 300.0, stopTime: 0.0
20:15:23.403 [main] INFO  MetronomeFederate.Metronome - curentTime: 97.0, startTime: 1.5000912E9, ignoreTil: 1.0, logicalTimeSec: 300.0, stopTime: 0.0
20:15:24.379 [main] INFO  MetronomeFederate.Metronome - curentTime: 98.0, startTime: 1.5000912E9, ignoreTil: 1.0, logicalTimeSec: 300.0, stopTime: 0.0
20:15:25.358 [main] INFO  MetronomeFederate.Metronome - curentTime: 99.0, startTime: 1.5000912E9, ignoreTil: 1.0, logicalTimeSec: 300.0, stopTime: 0.0
20:15:26.374 [main] INFO  MetronomeFederate.Metronome - curentTime: 100.0, startTime: 1.5000912E9, ignoreTil: 1.0, logicalTimeSec: 300.0, stopTime: 0.0
20:15:27.481 [main] INFO  MetronomeFederate.Metronome - curentTime: 101.0, startTime: 1.5000912E9, ignoreTil: 1.0, logicalTimeSec: 300.0, stopTime: 0.0
20:15:28.381 [main] INFO  MetronomeFederate.Metronome - curentTime: 102.0, startTime: 1.5000912E9, ignoreTil: 1.0, logicalTimeSec: 300.0, stopTime: 0.0
20:15:29.369 [main] INFO  MetronomeFederate.Metronome - curentTime: 103.0, startTime: 1.5000912E9, ignoreTil: 1.0, logicalTimeSec: 300.0, stopTime: 0.0
20:15:30.426 [main] INFO  MetronomeFederate.Metronome - curentTime: 104.0, startTime: 1.5000912E9, ignoreTil: 1.0, logicalTimeSec: 300.0, stopTime: 0.0
20:15:31.396 [main] INFO  MetronomeFederate.Metronome - curentTime: 105.0, startTime: 1.5000912E9, ignoreTil: 1.0, logicalTimeSec: 300.0, stopTime: 0.0
20:15:32.398 [main] INFO  MetronomeFederate.Metronome - curentTime: 106.0, startTime: 1.5000912E9, ignoreTil: 1.0, logicalTimeSec: 300.0, stopTime: 0.0
20:15:33.390 [main] INFO  MetronomeFederate.Metronome - curentTime: 107.0, startTime: 1.5000912E9, ignoreTil: 1.0, logicalTimeSec: 300.0, stopTime: 0.0
20:15:34.398 [main] INFO  MetronomeFederate.Metronome - curentTime: 108.0, startTime: 1.5000912E9, ignoreTil: 1.0, logicalTimeSec: 300.0, stopTime: 0.0
20:15:35.398 [main] INFO  MetronomeFederate.Metronome - curentTime: 109.0, startTime: 1.5000912E9, ignoreTil: 1.0, logicalTimeSec: 300.0, stopTime: 0.0
20:15:36.427 [main] INFO  MetronomeFederate.Metronome - curentTime: 110.0, startTime: 1.5000912E9, ignoreTil: 1.0, logicalTimeSec: 300.0, stopTime: 0.0
20:15:37.379 [main] INFO  MetronomeFederate.Metronome - curentTime: 111.0, startTime: 1.5000912E9, ignoreTil: 1.0, logicalTimeSec: 300.0, stopTime: 0.0
20:15:38.399 [main] INFO  MetronomeFederate.Metronome - curentTime: 112.0, startTime: 1.5000912E9, ignoreTil: 1.0, logicalTimeSec: 300.0, stopTime: 0.0
20:15:39.402 [main] INFO  MetronomeFederate.Metronome - curentTime: 113.0, startTime: 1.5000912E9, ignoreTil: 1.0, logicalTimeSec: 300.0, stopTime: 0.0
20:15:40.469 [main] INFO  MetronomeFederate.Metronome - curentTime: 114.0, startTime: 1.5000912E9, ignoreTil: 1.0, logicalTimeSec: 300.0, stopTime: 0.0
20:15:41.415 [main] INFO  MetronomeFederate.Metronome - curentTime: 115.0, startTime: 1.5000912E9, ignoreTil: 1.0, logicalTimeSec: 300.0, stopTime: 0.0
20:15:42.392 [main] INFO  MetronomeFederate.Metronome - curentTime: 116.0, startTime: 1.5000912E9, ignoreTil: 1.0, logicalTimeSec: 300.0, stopTime: 0.0
20:15:43.401 [main] INFO  MetronomeFederate.Metronome - curentTime: 117.0, startTime: 1.5000912E9, ignoreTil: 1.0, logicalTimeSec: 300.0, stopTime: 0.0
20:15:44.398 [main] INFO  MetronomeFederate.Metronome - curentTime: 118.0, startTime: 1.5000912E9, ignoreTil: 1.0, logicalTimeSec: 300.0, stopTime: 0.0
20:15:45.405 [main] INFO  MetronomeFederate.Metronome - curentTime: 119.0, startTime: 1.5000912E9, ignoreTil: 1.0, logicalTimeSec: 300.0, stopTime: 0.0
20:15:46.408 [main] INFO  MetronomeFederate.Metronome - curentTime: 120.0, startTime: 1.5000912E9, ignoreTil: 1.0, logicalTimeSec: 300.0, stopTime: 0.0
20:15:47.402 [main] INFO  MetronomeFederate.Metronome - curentTime: 121.0, startTime: 1.5000912E9, ignoreTil: 1.0, logicalTimeSec: 300.0, stopTime: 0.0
20:15:48.408 [main] INFO  MetronomeFederate.Metronome - curentTime: 122.0, startTime: 1.5000912E9, ignoreTil: 1.0, logicalTimeSec: 300.0, stopTime: 0.0
20:15:49.413 [main] INFO  MetronomeFederate.Metronome - curentTime: 123.0, startTime: 1.5000912E9, ignoreTil: 1.0, logicalTimeSec: 300.0, stopTime: 0.0
20:15:50.414 [main] INFO  MetronomeFederate.Metronome - curentTime: 124.0, startTime: 1.5000912E9, ignoreTil: 1.0, logicalTimeSec: 300.0, stopTime: 0.0
20:15:51.407 [main] INFO  MetronomeFederate.Metronome - curentTime: 125.0, startTime: 1.5000912E9, ignoreTil: 1.0, logicalTimeSec: 300.0, stopTime: 0.0
20:15:52.402 [main] INFO  MetronomeFederate.Metronome - curentTime: 126.0, startTime: 1.5000912E9, ignoreTil: 1.0, logicalTimeSec: 300.0, stopTime: 0.0
20:15:53.410 [main] INFO  MetronomeFederate.Metronome - curentTime: 127.0, startTime: 1.5000912E9, ignoreTil: 1.0, logicalTimeSec: 300.0, stopTime: 0.0
20:15:54.414 [main] INFO  MetronomeFederate.Metronome - curentTime: 128.0, startTime: 1.5000912E9, ignoreTil: 1.0, logicalTimeSec: 300.0, stopTime: 0.0
20:15:55.440 [main] INFO  MetronomeFederate.Metronome - curentTime: 129.0, startTime: 1.5000912E9, ignoreTil: 1.0, logicalTimeSec: 300.0, stopTime: 0.0
